iter	Passed	Remaining
914	28214	82793
915	28242	82753
916	28265	82700
917	28291	82655
918	28320	82618
919	28354	82596
920	28386	82571
921	28419	82546
922	28451	82519
923	28477	82473
924	28506	82438
925	28537	82406
926	28563	82363
927	28598	82343
928	28625	82302
929	28653	82263
930	28688	82245
931	28711	82192
932	28746	82171
933	28779	82148
934	28809	82113
935	28841	82086
936	28864	82033
937	28899	82014
938	28927	81975
939	28955	81937
940	28988	81913
941	29014	81867
942	29052	81857
943	29088	81842
944	29116	81802
945	29146	81771
946	29179	81744
947	29202	81693
948	29233	81662
949	29254	81603
950	29292	81593
951	29326	81573
952	29351	81526
953	29385	81503
954	29413	81463
955	29444	81434
956	29475	81403
957	29496	81347
958	29531	81328
959	29562	81297
960	29593	81266
961	29626	81240
962	29650	81193
963	29693	81194
964	29729	81178
965	29749	81116
966	29782	81093
967	29810	81055
968	29837	81014
969	29874	80999
970	29896	80945
971	29933	80930
972	29967	80908
973	29991	80861
974	30026	80841
975	30058	80813
976	30087	80776
977	30121	80754
978	30158	80741
979	30189	80710
980	30217	80671
981	30239	80618
982	30273	80596
983	30310	80581
984	30335	80535
985	30371	80517
986	30401	80485
987	30430	80451
988	30458	80412
989	30484	80368
990	30514	80335
991	30544	80301
992	30573	80267
993	30611	80253
994	30634	80205
995	30667	80178
996	30695	80140
997	30728	80114
998	30752	80066
999	30776	80019
1000	30800	79969
1001	30838	79957
1002	30870	79930
1003	30899	79894
1004	30926	79854
1005	30958	79826
1006	30988	79795
1007	31014	79750
1008	31042	79713
1009	31091	79729
1010	31122	79698
1011	31156	79677
1012	31181	79632
1013	31211	79598
1014	31238	79558
1015	31261	79506
1016	31293	79478
1017	31323	79446
1018	31358	79427
1019	31387	79392
1020	31418	79362
1021	31452	79339
1022	31478	79297
1023	31515	79281
1024	31552	79266
1025	31584	79237
1026	31608	79190
1027	31645	79175
1028	31689	79178
1029	31720	79146
1030	31758	79135
1031	31796	79120
1032	31826	79087
1033	31857	79059
1034	31896	79049
1035	31927	79017
1036	31956	78981
1037	31993	78965
1038	32025	78939
1039	32055	78905
1040	32090	78884
1041	32121	78854
1042	32159	78842
1043	32191	78813
1044	32215	78764
1045	32240	78719
1046	32272	78693
1047	32300	78655
1048	32335	78634
1049	32365	78601
1050	32402	78587
1051	32436	78563
1052	32469	78536
1053	32498	78501
1054	32532	78479
1055	32576	78479
1056	32598	78427
1057	32629	78397
1058	32660	78365
1059	32690	78333
1060	32721	78302
1061	32750	78269
1062	32776	78225
1063	32807	78195
1064	32838	78164
1065	32874	78146
1066	32902	78107
1067	32929	78069
1068	32964	78048
1069	32991	78007
1070	33022	77977
1071	33053	77947
1072	33081	77908
